iter	Passed	Remaining
0	139	138931
1	139	69759
2	140	46636
3	140	35084
4	141	28138
5	141	23510
6	142	20214
7	142	17721
8	143	15790
9	144	14256
10	144	12990
11	145	11945
12	145	11045
13	146	10291
14	146	9635
15	147	9052
16	147	8541
17	148	8087
18	148	7678
19	149	7310
20	149	6978
21	150	6674
22	150	6400
23	151	6145
24	151	5918
25	152	5708
26	152	5511
27	153	5326
28	154	5157
29	154	4995
30	154	4844
31	155	4701
32	155	4570
33	156	4448
34	157	4329
35	157	4218
36	158	4113
37	158	4018
38	159	3922
39	159	3834
40	160	3748
41	160	3667
42	161	3589
43	161	3516
44	162	3446
45	163	3380
46	163	3313
47	164	3257
48	164	3199
49	165	3144
50	166	3092
51	166	3039
52	167	2987
53	167	2938
54	168	2891
55	168	2846
56	169	2802
57	169	2759
58	170	2716
59	170	2677
60	171	2640
61	172	2602
62	172	2566
63	173	2530
64	173	2496
65	174	2463
66	174	2430
67	175	2399
68	175	2368
69	176	2338
70	176	2309
71	177	2281
72	177	2255
73	178	2228
74	178	2202
75	179	2177
76	179	2153
77	180	2129
78	180	2105
79	181	2082
80	181	2059
81	182	2038
82	182	2014
83	182	1993
84	183	1974
85	184	1955
86	184	1936
87	185	1918
88	185	1900
89	186	1882
90	186	1864
91	187	1847
92	187	1830
93	188	1813
94	188	1798
95	189	1782
96	189	1766
97	190	1751
98	190	1736
99	191	1721
100	191	1706
101	192	1693
102	192	1679
103	193	1665
104	193	1652
105	194	1638
106	194	1626
107	195	1613
108	195	1601
109	196	1589
110	196	1577
111	197	1565
112	197	1553
113	198	1543
114	199	1532
115	199	1521
116	200	1509
117	200	1498
118	200	1488
119	201	1477
120	201	1466
121	202	1456
122	202	1446
123	203	1436
124	203	1427
125	204	1417
126	204	1407
127	205	1398
128	205	1389
129	206	1380
130	206	1371
131	207	1362
132	207	1354
133	208	1345
134	208	1336
135	209	1328
136	209	1320
137	210	1312
138	210	1304
139	211	1297
140	211	1289
141	212	1281
142	212	1273
143	212	1266
144	213	1258
145	213	1251
146	214	1244
147	214	1237
148	215	1230
149	215	1223
150	216	1216
151	216	1210
152	217	1203
153	217	1196
154	218	1190
155	218	1183
156	219	1177
157	219	1171
158	220	1165
